kSigma,error
0.007946293257782797,6.862082205265231e-05
"
"
kSigma,power
1.0076548728005137e-19,1.5848931924611143e-11
0.0002627797474676776,0.0006174125406040168
0.0014708281399907226,0.004516086718642057
0.0024185875656465316,0.008733103553371542
0.003083340451327005,0.012939409817787188
0.0037678500966619693,0.01829424955841516
0.004094985457620446,0.021627187320886802
0.004462961906320703,0.025254566352094922
0.004699861397409538,0.028381162386788592
0.004966183887110858,0.033004288879509576
0.00519782946500221,0.03732293016694531
0.005568845120509228,0.046281734158690184
0.005783069740474381,0.05267062168092163
0.0058759708769187905,0.05599440841243018
0.006052315553723513,0.0632819572361798
0.006304232052148934,0.07789848376200251
0.0064404902686089295,0.08838183502683272
0.006584891257119895,0.1039474488279693
0.006656540172948866,0.11841915264891956
0.005638955051083074,0.052127139250940195
0.0038672125708293322,0.020896960517834774
0.0013348173790960277,0.004265252159607583
